Area,Company,Date,VarAll,ValueAll
北方区 BAI SHAN LIN,0170张家口正大,2020-03-01,Actual2021,0.0
北方区 BAI SHAN LIN,0301兰州正大,2020-03-01,Actual2021,0.0
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2020-03-01,Actual2021,0.0
北方区 BAI SHAN LIN,0306银川正大,2020-03-01,Actual2021,0.0
北方区 BAI SHAN LIN,0322兰州正大-泾川,2020-03-01,Actual2021,0.0
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2020-03-01,Actual2021,0.0
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2020-03-01,Actual2021,0.0
北方区 BAI SHAN LIN,0318渭南正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0403合肥正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0406滁州正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0502开封正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0506驻马店正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0510河南东方,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0511平顶山正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0560周口正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0518南阳正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0702宁波正大,2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0804福州大福(饲料),2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0805厦门正大(饲料),2020-03-01,Actual2021,0.0
中东南区 HUO ER FENG,0862海南农牧,2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0569武汉水产,2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0514襄阳正大,2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0572潜江正大,2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0507怀化正大,2020-03-01,Actual2021,0.0
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-03-01,Actual2021,0.0
