Year,Date,VarAll,ValueAll
2011年,2020-10-01,1产量,654037.35287
2010年,2020-10-01,1产量,517633.1325
2009年,2020-10-01,1产量,519763.14312000014
2021年,2020-11-01,1产量,0.0
2020年,2020-11-01,1产量,891004.1326400001
2019年,2020-11-01,1产量,723154.7463700005
2018年,2020-11-01,1产量,718057.9156099999
2017年,2020-11-01,1产量,712192.3020599996
2016年,2020-11-01,1产量,661642.9200000002
2015年,2020-11-01,1产量,502464.1784100001
2014年,2020-11-01,1产量,565581.741
2013年,2020-11-01,1产量,569262.1820899999
2012年,2020-11-01,1产量,560749.635
2011年,2020-11-01,1产量,605198.8903000003
2010年,2020-11-01,1产量,482683.95820000005
2009年,2020-11-01,1产量,498873.12586
2021年,2020-12-01,1产量,0.0
2020年,2020-12-01,1产量,938754.4901900002
2019年,2020-12-01,1产量,728547.14157
2018年,2020-12-01,1产量,714438.8911800002
2017年,2020-12-01,1产量,705321.7165699998
2016年,2020-12-01,1产量,637512.6948199999
2015年,2020-12-01,1产量,533087.5406699998
2014年,2020-12-01,1产量,567781.149
2013年,2020-12-01,1产量,563589.9530000001
2012年,2020-12-01,1产量,577193.5100000002
2011年,2020-12-01,1产量,599511.1338000001
2010年,2020-12-01,1产量,445396.42322
2009年,2020-12-01,1产量,492629.49124
