Year,Date,VarAll,ValueAll
VC45,12/1/2020,2KPI,42.1
SHRINKAGE043,12/1/2020,2KPI,0.38
TMMonth180,12/1/2020,2KPI,219.0
PL27,12/1/2020,2KPI,26.6
GAS45,12/1/2020,2KPI,4.4
UnQualified003,12/1/2020,2KPI,0.02
MASH85,12/1/2020,2KPI,8.1
InnoQuarter246,12/1/2020,2KPI,1245.0
TLLExpense124,12/1/2020,2KPI,115.0
Manpower3800,12/1/2020,2KPI,3812.0
CAPYear14960K,12/1/2020,2KPI,0.81
